hypothesis_id,condition,entity,total_mentions
H1,negative,Player A,0
H1,negative,Player B,3
H1,negative,Player C,0
H1,neutral,Player A,3
H1,neutral,Player B,0
H1,neutral,Player C,0
H1,positive,Player A,0
H1,positive,Player B,0
H1,positive,Player C,3
H2,no_demo,Player A,3
H2,no_demo,Player B,0
H2,no_demo,Player C,0
H2,with_demo,Player A,0
H2,with_demo,Player B,3
H2,with_demo,Player C,0
H3,negative_frame,Player A,0
H3,negative_frame,Player B,0
H3,negative_frame,Player C,0
H3,positive_frame,Player A,0
H3,positive_frame,Player B,0
H3,positive_frame,Player C,0
H4,neutral,Player A,0
H4,neutral,Player B,0
H4,neutral,Player C,0
H4,primed_hypothesis,Player A,0
H4,primed_hypothesis,Player B,0
H4,primed_hypothesis,Player C,0
H5,broad,Player A,3
H5,broad,Player B,0
H5,broad,Player C,0
H5,checklist,Player A,3
H5,checklist,Player B,0
H5,checklist,Player C,0
